Timestamp,Packet_Length,Proto_TCP,Proto_UDP,Proto_ICMP,TCP_SYN,TCP_ACK,TCP_RST,Packet_Rate_1s
1785760992.646155,40,1,0,0,1,0,0,68.0
1785760992.660793,40,1,0,0,1,0,0,68.0
1785760992.675784,40,1,0,0,1,0,0,68.0
1785760992.690973,40,1,0,0,1,0,0,68.0
1785760992.706158,40,1,0,0,1,0,0,68.0
1785760992.721200,40,1,0,0,1,0,0,68.0
1785760992.736820,40,1,0,0,1,0,0,68.0
1785760992.751824,40,1,0,0,1,0,0,68.0
1785760992.766992,40,1,0,0,1,0,0,68.0
1785760992.781829,40,1,0,0,1,0,0,68.0
1785760992.797800,40,1,0,0,1,0,0,68.0
1785760992.812814,40,1,0,0,1,0,0,68.0
1785760992.828014,40,1,0,0,1,0,0,68.0
1785760992.843133,40,1,0,0,1,0,0,68.0
1785760992.857849,40,1,0,0,1,0,0,68.0
1785760992.872985,40,1,0,0,1,0,0,68.0
1785760992.888194,40,1,0,0,1,0,0,68.0
1785760992.902991,40,1,0,0,1,0,0,68.0
1785760992.917914,40,1,0,0,1,0,0,68.0
1785760992.933036,40,1,0,0,1,0,0,68.0
1785760992.948138,40,1,0,0,1,0,0,68.0
1785760992.962903,40,1,0,0,1,0,0,68.0
1785760992.978083,40,1,0,0,1,0,0,68.0
1785760992.993443,40,1,0,0,1,0,0,68.0
1785760993.008149,40,1,0,0,1,0,0,68.0
1785760993.023165,40,1,0,0,1,0,0,68.0
1785760993.039197,40,1,0,0,1,0,0,68.0
1785760993.054168,40,1,0,0,1,0,0,68.0
1785760993.069625,40,1,0,0,1,0,0,68.0
1785760993.084459,40,1,0,0,1,0,0,68.0
1785760993.099455,40,1,0,0,1,0,0,68.0
1785760993.114450,40,1,0,0,1,0,0,67.0
1785760993.129778,40,1,0,0,1,0,0,67.0
1785760993.144819,40,1,0,0,1,0,0,67.0
1785760993.159333,40,1,0,0,1,0,0,67.0
1785760993.174623,40,1,0,0,1,0,0,67.0
1785760993.189979,40,1,0,0,1,0,0,67.0
1785760993.205549,40,1,0,0,1,0,0,67.0
1785760993.220819,40,1,0,0,1,0,0,67.0
1785760993.235730,40,1,0,0,1,0,0,67.0
1785760993.251106,40,1,0,0,1,0,0,67.0
1785760993.265921,40,1,0,0,1,0,0,67.0
1785760993.280720,40,1,0,0,1,0,0,67.0
1785760993.295800,40,1,0,0,1,0,0,67.0
1785760993.310506,40,1,0,0,1,0,0,67.0
1785760993.325506,40,1,0,0,1,0,0,67.0
1785760993.340367,40,1,0,0,1,0,0,67.0
1785760993.355946,40,1,0,0,1,0,0,67.0
1785760993.370886,40,1,0,0,1,0,0,67.0
1785760993.386536,40,1,0,0,1,0,0,67.0
1785760993.401059,40,1,0,0,1,0,0,67.0
1785760993.415753,40,1,0,0,1,0,0,67.0
1785760993.430787,40,1,0,0,1,0,0,67.0
1785760993.445801,40,1,0,0,1,0,0,67.0
1785760993.460382,40,1,0,0,1,0,0,67.0
1785760993.476055,40,1,0,0,1,0,0,67.0
1785760993.490737,40,1,0,0,1,0,0,67.0
1785760993.506137,40,1,0,0,1,0,0,67.0
1785760993.520607,40,1,0,0,1,0,0,67.0
