Packet_Length,Proto_TCP,Proto_UDP,Proto_ICMP,TCP_SYN,TCP_ACK,TCP_RST,Packet_Rate_1s
0.29289273553458517,1,0,0,0,1,0,0.010855482178422754
1.1520826373466357,1,0,0,0,1,0,0.4357883612877484
-1.1419995418173785,1,0,0,0,1,0,0.27591262459315063
1.1520826373466357,1,0,0,0,1,0,0.3874049146564886
1.2613246458782552,1,0,0,0,1,0,0.8039232813082038
-1.1419995418173785,1,0,0,0,1,0,0.20018201247465697
1.2613246458782552,1,0,0,0,1,0,0.3179851868812027
1.1520826373466357,1,0,0,0,1,0,0.7323999254185153
-1.1272533753764713,1,0,0,0,1,0,0.17283484698742313
-1.1272533753764713,1,0,0,0,1,0,0.16652396264421532
0.4966305861569173,1,0,0,0,1,0,-0.6265438364855658
-1.1419995418173785,1,0,0,0,1,0,0.24856545910591682
-0.15882146503280106,1,0,0,0,1,0,0.5073117171774368
-1.1419995418173785,1,0,0,0,1,0,-1.6110417940259836
1.2613246458782552,1,0,0,0,1,0,0.38530128654208595
-1.1419995418173785,1,0,0,0,1,0,-1.566865603623529
0.7697356074859666,1,0,0,0,1,0,0.77657611582097
-1.1419995418173785,1,0,0,0,1,0,1.1762654575574645
1.1520826373466357,1,0,0,0,1,0,-0.0396315925672397
0.605872594688537,1,0,0,0,1,0,0.16652396264421532
0.27814656909367785,1,0,0,0,1,0,0.6692910819864373
-1.1272533753764713,1,0,0,0,1,0,0.2401509466483064
1.1520826373466357,1,0,0,0,1,0,-0.06697875805447354
